"Global_Index", "x_coord", "y_coord", "Pressure", "Pressure_Coefficient", "Skin_Friction_Coefficient_X", "Skin_Friction_Coefficient_Y"
6442, 4.389852765787000e-03, 4.457992844824000e-03, 8.088264802329548e+05, -1.649184953131859e+00, 5.049982664720457e-03, 1.218824742889952e-03
6440, 3.944484106556000e-03, 4.339106683712000e-03, 8.262105361086935e+05, -1.499218977668276e+00, 4.673877490943222e-03, 1.363241506552628e-03
6438, 3.530683452360000e-03, 4.207396788019000e-03, 8.454189693277938e+05, -1.333514757351675e+00, 4.256255778427992e-03, 1.463755669253699e-03
6436, 3.149569149009000e-03, 4.065729956312000e-03, 8.600822139290631e+05, -1.207020238707185e+00, 3.824951916831548e-03, 1.531712953759231e-03
6434, 2.788380057111000e-03, 3.910139266658000e-03, 8.758951013870650e+05, -1.070608166088121e+00, 3.411809565331701e-03, 1.547366291684490e-03
6432, 2.444820389716000e-03, 3.746103537148000e-03, 8.884266536285514e+05, -9.625029880214682e-01, 2.990730605592307e-03, 1.501194686880250e-03
6430, 2.153420632286000e-03, 3.591421922759000e-03, 8.930757712617975e+05, -9.223967282453629e-01, 2.678531418388730e-03, 1.474322351004933e-03
6428, 1.944192580103000e-03, 3.470547027271000e-03, 8.995416717809737e+05, -8.666177382593713e-01, 2.480627470864381e-03, 1.473779899543554e-03
6426, 1.782155835991000e-03, 3.370847652493000e-03, 9.036326011628619e+05, -8.313267670560565e-01, 2.307122554347842e-03, 1.453935024823606e-03
6424, 1.650431230551000e-03, 3.285420357581000e-03, 9.065936540538886e+05, -8.057828325233899e-01, 2.188150037076363e-03, 1.452621231947113e-03
6422, 1.533151783578000e-03, 3.205544283324000e-03, 9.096493555019817e+05, -7.794223990512276e-01, 2.110568334962304e-03, 1.496787454432786e-03
6420, 1.427139582807000e-03, 3.127064841919000e-03, 9.142257051082688e+05, -7.399438827789098e-01, 2.026140129787531e-03, 1.579232380992538e-03
6418, 1.331036195351000e-03, 3.048009531932000e-03, 9.196821340944294e+05, -6.928732393510227e-01, 1.908896548178724e-03, 1.654838660656747e-03
6416, 1.241195064548000e-03, 2.965867956815000e-03, 9.258931577340587e+05, -6.392929802099837e-01, 1.760630051202609e-03, 1.697187121976795e-03
6414, 1.153881451648000e-03, 2.877238421099000e-03, 9.333007399598522e+05, -5.753904420302606e-01, 1.566071696151766e-03, 1.674038447524869e-03
6412, 1.065622792750000e-03, 2.778191534317000e-03, 9.400435509329321e+05, -5.172226455061071e-01, 1.330283983359535e-03, 1.571420383010891e-03
6410, 9.740345567360000e-04, 2.664791244390000e-03, 9.444290711241676e+05, -4.793903457197407e-01, 1.122221532996906e-03, 1.463111815979060e-03
6408, 8.773062982950000e-04, 2.532671304951000e-03, 9.516523156062748e+05, -4.170780227201970e-01, 9.316709880185703e-04, 1.339548348961324e-03
6406, 7.737218364620000e-04, 2.376783377697000e-03, 9.588924916631915e+05, -3.546196371360294e-01, 7.145047245882559e-04, 1.132326814008588e-03
6404, 6.614401930030000e-04, 2.190572826318000e-03, 9.642403672743943e+05, -3.084854444928031e-01, 5.022752139224133e-04, 8.759745104319687e-04
6402, 5.397138280450000e-04, 1.968670365292000e-03, 9.689391940616044e+05, -2.679503617874012e-01, 3.090271595868714e-04, 5.893432629513000e-04
6400, 4.149407653980000e-04, 1.720475708723000e-03, 9.715693619373533e+05, -2.452608528523700e-01, 1.276503801753628e-04, 2.688587754980006e-04
6732, 4.961220629983000e-02, -4.966084405239300e-02, 1.299353677792385e+05, -7.505733542277100e+00, 4.103350756976117e-03, -1.007352430587782e-02
6730, 4.955281349030000e-02, -4.952059399995900e-02, 1.361271654729490e+05, -7.452319138432116e+00, 3.957352895607043e-03, -9.309563077373175e-03
6728, 4.948710588889200e-02, -4.936654880065400e-02, 1.369397049112672e+05, -7.445309653974575e+00, 3.832468098201681e-03, -8.983926809166539e-03
6726, 4.941161061447700e-02, -4.918959155737300e-02, 1.373833189870889e+05, -7.441482755459895e+00, 3.814391355597898e-03, -8.927052314990087e-03
6724, 4.931412487006900e-02, -4.896171079097600e-02, 1.378928968217523e+05, -7.437086811406552e+00, 3.818323787629478e-03, -8.917709941145187e-03
6722, 4.918551576080600e-02, -4.866154615411100e-02, 1.385942123654001e+05, -7.431036815343338e+00, 3.840047880464961e-03, -8.945039891384093e-03
6720, 4.900733020479400e-02, -4.824706071244200e-02, 1.396004735122046e+05, -7.422356163628324e+00, 3.875919479431379e-03, -8.997848579403852e-03
6718, 4.880099723567700e-02, -4.776889616913400e-02, 1.407834967511088e+05, -7.412150649145023e+00, 3.918969768586069e-03, -9.063054025793195e-03
6716, 4.858836690548800e-02, -4.727816142496300e-02, 1.420090108730155e+05, -7.401578581150659e+00, 3.962509835351689e-03, -9.125858573891327e-03
6714, 4.837609292998600e-02, -4.679032027600200e-02, 1.432916539391034e+05, -7.390513682374883e+00, 4.011845193648987e-03, -9.198360906905630e-03
6712, 4.816597294656200e-02, -4.630969631936800e-02, 1.445444250017514e+05, -7.379706478590825e+00, 4.054585845875858e-03, -9.256023132630518e-03
6710, 4.795585013032500e-02, -4.583096777420700e-02, 1.457608112767016e+05, -7.369213153237562e+00, 4.101404268815124e-03, -9.323684314651933e-03
6708, 4.774483459970700e-02, -4.535232641835000e-02, 1.470194231347711e+05, -7.358355563019573e+00, 4.144745984774194e-03, -9.380117017270479e-03
6706, 4.753288066540300e-02, -4.487373104841600e-02, 1.482472706723526e+05, -7.347763365490402e+00, 4.184390306660710e-03, -9.428527490773404e-03
6704, 4.732013730207000e-02, -4.439537215439100e-02, 1.493873683090019e+05, -7.337928154684247e+00, 4.230479014723384e-03, -9.490774679635855e-03
6702, 4.710659494824500e-02, -4.391738977438700e-02, 1.506054492535456e+05, -7.327420210028073e+00, 4.270068330574214e-03, -9.535896703052145e-03
6700, 4.689224050661700e-02, -4.343979502421000e-02, 1.517776928944332e+05, -7.317307687246090e+00, 4.292411834216490e-03, -9.543579585411185e-03
