    np2    ns2
    550    550
 Face:           1
        0.012913967428966        0.016866013225352        1.000000000000000        0.000000000000000        0.000000000000000        1.000000000000000
        0.012746753469129        0.016871319510638        1.000000000000000        0.000000000000000        0.000000000000000        1.000000000000000
        0.012580333350473        0.016865826305898        1.000000000000000        0.000000000000000        0.000000000000000        1.000000000000000
        0.012407149469329        0.016856470030555        1.000000000000000        0.000000000000000        0.000000000000000        1.000000000000000
        0.012224921765625        0.016846811482586        1.000000000000000        0.000000000000000        0.000000000000000        1.000000000000000
        0.012037536344464        0.016826350755187        1.000000000000000        0.000000000000000        0.000000000000000        1.000000000000000
        0.011844285591370        0.016797422051962        1.000000000000000        0.000000000000000        0.000000000000000        1.000000000000000
        0.011642629857294        0.016766433266525        1.000000000000000        0.000000000000000        0.000000000000000        1.000000000000000
        0.011437209133292        0.016723489565981        1.000000000000000        0.000000000000000        0.000000000000000        1.000000000000000
        0.011223857171055        0.016670982637544        1.000000000000000        0.000000000000000        0.000000000000000        1.000000000000000
        0.010991144029650        0.016608835039556        1.000000000000000        0.000000000000000        0.000000000000000        1.000000000000000
        0.010735990087295        0.016525215795647        1.000000000000000        0.000000000000000        0.000000000000000        1.000000000000000
        0.010456889128801        0.016424742243834        1.000000000000000        0.000000000000000        0.000000000000000        1.000000000000000
        0.010144296364822        0.016293920671439        1.000000000000000        0.000000000000000        0.000000000000000        1.000000000000000
        0.009817653869020        0.016140349241942        1.000000000000000        0.000000000000000        0.000000000000000        1.000000000000000
        0.009508320584334        0.015977622163207        1.000000000000000        0.000000000000000        0.000000000000000        1.000000000000000
        0.009223212226574        0.015817822928694        1.000000000000000        0.000000000000000        0.000000000000000        1.000000000000000
        0.008955384469967        0.015650635828913        1.000000000000000        0.000000000000000        0.000000000000000        1.000000000000000
        0.008682820455977        0.015464390089641        1.000000000000000        0.000000000000000        0.000000000000000        1.000000000000000
        0.008390994424352        0.015252749318637        1.000000000000000        0.000000000000000        0.000000000000000        1.000000000000000
        0.008085041119376        0.015013880692757        1.000000000000000        0.000000000000000        0.000000000000000        1.000000000000000
        0.007770805040626        0.014756910013002        1.000000000000000        0.000000000000000        0.000000000000000        1.000000000000000
        0.007457815562992        0.014473075601916        1.000000000000000        0.000000000000000        0.000000000000000        1.000000000000000
        0.007130040763493        0.014166116638611        1.000000000000000        0.000000000000000        0.000000000000000        1.000000000000000
        0.006798223373570        0.013826774493898        1.000000000000000        0.000000000000000        0.000000000000000        1.000000000000000
        0.006464852652460        0.013469985635874        1.000000000000000        0.000000000000000        0.000000000000000        1.000000000000000
        0.006132827319690        0.013096199063277        1.000000000000000        0.000000000000000        0.000000000000000        1.000000000000000
        0.005810395244940        0.012704415598200        1.000000000000000        0.000000000000000        0.000000000000000        1.000000000000000
        0.005493473008850        0.012305422006795        1.000000000000000        0.000000000000000        0.000000000000000        1.000000000000000
        0.005185342964921        0.011898970874427        1.000000000000000        0.000000000000000        0.000000000000000        1.000000000000000
        0.004885499011547        0.011485172725984        1.000000000000000        0.000000000000000        0.000000000000000        1.000000000000000
        0.004596507729809        0.011062806282125        1.000000000000000        0.000000000000000        0.000000000000000        1.000000000000000
        0.004313510430992        0.010636485024366        1.000000000000000        0.000000000000000        0.000000000000000        1.000000000000000
        0.004038210586957        0.010205594676709        1.000000000000000        0.000000000000000        0.000000000000000        1.000000000000000
        0.003770745468910        0.009770997772547        1.000000000000000        0.000000000000000        0.000000000000000        1.000000000000000
        0.003510029713075        0.009331767423105        1.000000000000000        0.000000000000000        0.000000000000000        1.000000000000000
        0.003255088806881        0.008887074928618        1.000000000000000        0.000000000000000        0.000000000000000        1.000000000000000
        0.003007006229151        0.008439467238368        1.000000000000000        0.000000000000000        0.000000000000000        1.000000000000000
        0.002765576332159        0.007989149443680        1.000000000000000        0.000000000000000        0.000000000000000        1.000000000000000
        0.002529731234332        0.007534961467458        1.000000000000000        0.000000000000000        0.000000000000000        1.000000000000000
        0.002299969396879        0.007078131606552        1.000000000000000        0.000000000000000        0.000000000000000        1.000000000000000
        0.002075463946564        0.006617528291636        1.000000000000000        0.000000000000000        0.000000000000000        1.000000000000000
        0.001855638467367        0.006152125490807        1.000000000000000        0.000000000000000        0.000000000000000        1.000000000000000
        0.001641449340870        0.005684051341909        1.000000000000000        0.000000000000000        0.000000000000000        1.000000000000000
        0.001432502242185        0.005214481228346        1.000000000000000        0.000000000000000        0.000000000000000        1.000000000000000
        0.001229851578101        0.004742358592227        1.000000000000000        0.000000000000000        0.000000000000000        1.000000000000000
        0.001032992692393        0.004267063072731        1.000000000000000        0.000000000000000        0.000000000000000        1.000000000000000
        0.000842673720897        0.003790292904815        1.000000000000000        0.000000000000000        0.000000000000000        1.000000000000000
        0.000659425261880        0.003312671513658        1.000000000000000        0.000000000000000        0.000000000000000        1.000000000000000
        0.000492738334127        0.002858716731764        1.000000000000000        0.000000000000000        0.000000000000000        1.000000000000000
        0.000363137945643        0.002489273522124        1.000000000000000        0.000000000000000        0.000000000000000        1.000000000000000
        0.000270688898531        0.002212219245854        1.000000000000000        0.000000000000000        0.000000000000000        1.000000000000000
        0.000201326530773        0.001997471767549        1.000000000000000        0.000000000000000        0.000000000000000        1.000000000000000
        0.000143712476022        0.001812342835360        1.000000000000000        0.000000000000000        0.000000000000000        1.000000000000000
        0.000096371799582        0.001649824369786        1.000000000000000        0.000000000000000        0.000000000000000        1.000000000000000
        0.000056304963739        0.001501019653416        1.000000000000000        0.000000000000000        0.000000000000000        1.000000000000000
        0.000026190673470        0.001358695017117        1.000000000000000        0.000000000000000        0.000000000000000        1.000000000000000
        0.000006494887703        0.001216596265385        1.000000000000000        0.000000000000000        0.000000000000000        1.000000000000000
